simulation, day, sickPercentage, border_red_cnt, border_green_cnt, total_nodecnt=45,Psick= 0.5,Edgecnt= 60
0,6,0.1555556,3,6
0,7,0.2666667,5,8
0,8,0.3555556,6,10
0,9,0.4888889,6,9
0,10,0.6222222,6,5
0,11,0.7777778,4,2
0,12,0.8,4,2
0,13,0.8444445,3,0
0,14,0.8666667,1,0
0,15,0.8666667,1,0
0,16,0.8888889,0,0
0,17,0.8888889,0,0
0,18,0.8888889,0,0
1,6,0.1555556,3,6
1,7,0.2222222,2,4
1,8,0.2444444,3,5
1,9,0.3111111,5,9
1,10,0.4222222,6,10
1,11,0.4888889,5,8
1,12,0.6222222,6,6
1,13,0.7333333,5,5
1,14,0.8,3,2
1,15,0.8666667,0,0
1,16,0.8888889,0,0
1,17,0.8888889,0,0
1,18,0.8888889,0,0
2,6,0.1555556,3,6
2,7,0.2444444,5,7
2,8,0.4222222,7,10
2,9,0.5333334,6,8
2,10,0.6222222,8,6
2,11,0.6444445,6,6
2,12,0.7555556,5,2
2,13,0.8222222,4,0
2,14,0.8666667,2,0
2,15,0.8888889,0,0
2,16,0.8888889,0,0
2,17,0.8888889,0,0
2,18,0.8888889,0,0
3,6,0.1555556,3,6
3,7,0.2666667,4,6
3,8,0.3555556,4,9
3,9,0.4666667,6,8
3,10,0.6,6,6
3,11,0.6888889,4,6
3,12,0.7555556,5,2
3,13,0.8444445,2,0
3,14,0.8888889,0,0
3,15,0.8888889,0,0
3,16,0.8888889,0,0
3,17,0.8888889,0,0
3,18,0.8888889,0,0
4,6,0.1555556,3,6
4,7,0.2222222,4,5
4,8,0.3111111,4,8
4,9,0.4444444,7,8
4,10,0.5555556,7,8
4,11,0.6444445,7,7
4,12,0.7333333,6,4
4,13,0.7777778,6,0
4,14,0.8666667,0,0
4,15,0.8888889,0,0
4,16,0.8888889,0,0
4,17,0.8888889,0,0
4,18,0.8888889,0,0
5,6,0.1555556,3,6
5,7,0.2222222,5,10
5,8,0.3555556,7,8
5,9,0.4666667,6,8
5,10,0.5333334,5,8
5,11,0.6222222,5,7
5,12,0.7111111,6,5
5,13,0.7555556,5,2
5,14,0.8666667,2,0
5,15,0.8666667,2,0
5,16,0.8888889,0,0
5,17,0.8888889,0,0
5,18,0.8888889,0,0
6,6,0.1555556,3,6
6,7,0.2888889,4,8
6,8,0.3777778,5,10
6,9,0.4888889,8,9
6,10,0.6666667,6,6
6,11,0.8,3,3
6,12,0.8222222,3,0
6,13,0.8888889,0,0
6,14,0.8888889,0,0
6,15,0.8888889,0,0
6,16,0.8888889,0,0
6,17,0.8888889,0,0
6,18,0.8888889,0,0
7,6,0.1555556,3,6
7,7,0.2666667,5,8
7,8,0.3555556,4,9
7,9,0.5111111,7,8
7,10,0.6222222,8,6
7,11,0.6888889,5,5
7,12,0.7555556,5,3
7,13,0.8,4,2
7,14,0.8666667,1,0
7,15,0.8666667,1,0
7,16,0.8666667,1,0
7,17,0.8888889,0,0
7,18,0.8888889,0,0
8,6,0.1555556,3,6
8,7,0.2666667,5,8
8,8,0.3777778,4,10
8,9,0.5555556,7,9
8,10,0.7111111,8,2
8,11,0.8222222,1,0
8,12,0.8888889,0,0
8,13,0.8888889,0,0
8,14,0.8888889,0,0
8,15,0.8888889,0,0
8,16,0.8888889,0,0
8,17,0.8888889,0,0
8,18,0.8888889,0,0
9,6,0.1555556,3,6
9,7,0.2,5,10
9,8,0.3333333,7,8
9,9,0.4666667,7,9
9,10,0.5777778,7,9
9,11,0.6666667,9,6
9,12,0.7777778,5,3
9,13,0.8666667,0,0
9,14,0.8888889,0,0
9,15,0.8888889,0,0
9,16,0.8888889,0,0
9,17,0.8888889,0,0
9,18,0.8888889,0,0
10,6,0.1555556,3,6
10,7,0.2666667,5,8
10,8,0.4444444,5,6
10,9,0.5333334,4,7
10,10,0.6222222,5,8
10,11,0.7111111,5,4
10,12,0.7777778,3,4
10,13,0.8444445,2,0
10,14,0.8888889,0,0
10,15,0.8888889,0,0
10,16,0.8888889,0,0
10,17,0.8888889,0,0
10,18,0.8888889,0,0
11,6,0.1555556,3,6
11,7,0.2222222,5,10
11,8,0.3555556,6,9
11,9,0.4888889,6,7
11,10,0.5777778,6,6
11,11,0.6666667,5,6
11,12,0.7555556,6,3
11,13,0.8444445,2,2
11,14,0.8888889,0,0
11,15,0.8888889,0,0
11,16,0.8888889,0,0
11,17,0.8888889,0,0
11,18,0.8888889,0,0
12,6,0.1555556,3,6
12,7,0.2444444,4,10
12,8,0.4,7,8
12,9,0.5111111,8,8
12,10,0.5777778,7,8
12,11,0.6666667,8,6
12,12,0.8222222,5,0
12,13,0.8666667,2,0
12,14,0.8888889,0,0
12,15,0.8888889,0,0
12,16,0.8888889,0,0
12,17,0.8888889,0,0
12,18,0.8888889,0,0
13,6,0.1555556,3,6
13,7,0.2666667,4,9
13,8,0.4444444,6,6
13,9,0.5555556,4,6
13,10,0.6666667,5,7
13,11,0.8222222,2,0
13,12,0.8222222,2,0
13,13,0.8222222,2,0
13,14,0.8666667,0,0
