node1,node2
0,13
0,20
1,2
1,11
1,19
1,44
2,1
2,24
2,26
2,30
3,38
4,21
4,32
4,36
4,38
5,31
5,32
5,36
6,17
6,19
6,40
6,43
7,16
7,28
7,42
7,43
9,20
9,21
9,26
10,41
11,1
11,16
11,29
12,23
12,37
12,41
13,0
14,24
14,33
15,32
15,33
16,7
16,11
16,28
17,6
17,23
17,29
19,1
19,6
19,36
19,38
20,0
20,9
20,28
21,4
21,9
21,32
21,36
22,40
23,12
23,17
23,41
23,43
24,2
24,14
24,29
24,31
25,32
26,2
26,9
26,36
27,40
28,7
28,16
28,20
28,29
28,32
29,11
29,17
29,24
29,28
30,2
30,36
31,5
31,24
31,38
32,4
32,5
32,15
32,21
32,25
32,28
33,14
33,15
33,40
33,42
36,4
36,5
36,19
36,21
36,26
36,30
36,37
37,12
37,36
38,3
38,4
38,19
38,31
40,6
40,22
40,27
40,33
41,10
41,12
41,23
42,7
42,33
43,6
43,7
43,23
44,1
